State,Petrol_Rate,Diesel_Rate,Date
Goa,96.55,87.43,2021-11-07
Gujarat,95.18,89.17,2021-11-07
Haryana,95.27,86.51,2021-11-07
Himachal Pradesh,94.38,79.28,2021-11-07
Jammu And Kashmir,99.41,83.14,2021-11-07
Jharkhand,98.59,91.62,2021-11-07
Karnataka,101.53,85.9,2021-11-07
Kerala,105.17,92.36,2021-11-07
Madhya Pradesh,108.19,91.77,2021-11-07
Maharashtra,110.18,92.95,2021-11-07
Manipur,99.77,84.21,2021-11-07
Meghalaya,93.09,80.07,2021-11-07
Mizoram,94.09,79.18,2021-11-07
Nagaland,96.92,83.68,2021-11-07
Odisha,103.28,93.03,2021-11-07
Pondicherry,94.69,83.39,2021-11-07
Punjab,105.63,89.32,2021-11-07
Rajasthan,110.8,95.43,2021-11-07
Sikkim,97.7,82.25,2021-11-07
Tamil Nadu,102.8,92.83,2021-11-07
Telangana,110.41,96.68,2021-11-07
Tripura,97.71,85.13,2021-11-07
Uttar Pradesh,95.2,86.71,2021-11-07
Uttarakhand,94.26,87.49,2021-11-07
West Bengal,105.21,90.28,2021-11-07
Andaman And Nicobar,82.96,77.13,2021-11-08
Andhra Pradesh,110.33,96.42,2021-11-08
Arunachal Pradesh,94.38,81.85,2021-11-08
Assam,95.26,81.8,2021-11-08
Bihar,107.88,92.92,2021-11-08
Chandigarh,94.23,80.9,2021-11-08
Chhatisgarh,102.54,94.43,2021-11-08
Dadra And Nagar Haveli,93.1,86.97,2021-11-08
Daman And Diu,93.1,86.97,2021-11-08
Delhi,103.97,86.67,2021-11-08
Goa,96.22,87.11,2021-11-08
Gujarat,95.13,89.12,2021-11-08
Haryana,95.27,86.51,2021-11-08
Himachal Pradesh,94.3,79.22,2021-11-08
Jammu And Kashmir,99.41,83.14,2021-11-08
Jharkhand,98.78,91.81,2021-11-08
Karnataka,101.08,85.49,2021-11-08
Kerala,104.34,91.58,2021-11-08
Madhya Pradesh,108.24,91.82,2021-11-08
Maharashtra,110.28,93.05,2021-11-08
Manipur,99.87,84.3,2021-11-08
Meghalaya,93.93,80.78,2021-11-08
Mizoram,94.6,79.64,2021-11-08
Nagaland,96.92,83.68,2021-11-08
Odisha,103.11,92.87,2021-11-08
Pondicherry,94.65,83.34,2021-11-08
Punjab,96.82,85.19,2021-11-08
Rajasthan,110.66,95.31,2021-11-08
Sikkim,97.7,82.25,2021-11-08
Tamil Nadu,102.81,92.84,2021-11-08
Telangana,110.58,96.84,2021-11-08
Tripura,97.71,85.13,2021-11-08
Uttar Pradesh,95.2,86.71,2021-11-08
Uttarakhand,94.26,87.49,2021-11-08
West Bengal,105.74,90.77,2021-11-08
Andaman And Nicobar,82.96,77.13,2021-11-09
Andhra Pradesh,109.43,95.58,2021-11-09
Arunachal Pradesh,94.66,82.12,2021-11-09
Assam,95.26,81.8,2021-11-09
Bihar,107.88,92.92,2021-11-09
Chandigarh,94.23,80.9,2021-11-09
Chhatisgarh,102.54,94.43,2021-11-09
Dadra And Nagar Haveli,93.38,87.25,2021-11-09
Daman And Diu,93.1,86.97,2021-11-09
Delhi,103.97,86.67,2021-11-09
Goa,96.23,87.12,2021-11-09
Gujarat,95.21,89.19,2021-11-09
Haryana,95.27,86.51,2021-11-09
Himachal Pradesh,94.42,79.32,2021-11-09
Jammu And Kashmir,99.59,83.31,2021-11-09
Jharkhand,98.98,92.01,2021-11-09
Karnataka,101.14,85.54,2021-11-09
Kerala,105.17,92.36,2021-11-09
Madhya Pradesh,108.24,91.81,2021-11-09
Maharashtra,110.95,93.69,2021-11-09
